"csdspcode","name","p.code","p.value","depth.zone"
996,"Calocarides spinulicauda","P001",NA,"deep"
996,"Calocarides spinulicauda","P001",8.764602406,"mid"
996,"Calocarides spinulicauda","P001",NA,"shallow"
444,"Acidostoma hancocki","P002",NA,"deep"
444,"Acidostoma hancocki","P002",16.80141051,"mid"
444,"Acidostoma hancocki","P002",22.50179154,"shallow"
1330,"Acila castrensis","P003",25.25984358,"deep"
1330,"Acila castrensis","P003",-10.71143118,"mid"
1330,"Acila castrensis","P003",NA,"shallow"
98,"Aricidea (Acmira) horikoshii","P004",0.57741083,"deep"
98,"Aricidea (Acmira) horikoshii","P004",32.30160093,"mid"
98,"Aricidea (Acmira) horikoshii","P004",40.79202483,"shallow"
99,"Aricidea (Acmira) catherinae","P004",0.57741083,"deep"
99,"Aricidea (Acmira) catherinae","P004",32.30160093,"mid"
99,"Aricidea (Acmira) catherinae","P004",40.79202483,"shallow"
105,"Aricidea (Acmira) lopezi","P004",0.57741083,"deep"
105,"Aricidea (Acmira) lopezi","P004",32.30160093,"mid"
105,"Aricidea (Acmira) lopezi","P004",40.79202483,"shallow"
166,"Aricidea (Acmira) sp","P004",0.57741083,"deep"
166,"Aricidea (Acmira) sp","P004",32.30160093,"mid"
166,"Aricidea (Acmira) sp","P004",40.79202483,"shallow"
319,"Aricidea (Acmira) simplex","P004",0.57741083,"deep"
319,"Aricidea (Acmira) simplex","P004",32.30160093,"mid"
319,"Aricidea (Acmira) simplex","P004",40.79202483,"shallow"
1767,"Aricidea (Acmira) cerrutii","P004",0.57741083,"deep"
1767,"Aricidea (Acmira) cerrutii","P004",32.30160093,"mid"
1767,"Aricidea (Acmira) cerrutii","P004",40.79202483,"shallow"
2052,"Aricidea (Acmira) rubra","P004",0.57741083,"deep"
2052,"Aricidea (Acmira) rubra","P004",32.30160093,"mid"
2052,"Aricidea (Acmira) rubra","P004",40.79202483,"shallow"
2151,"Aricidea (Acmira) sp SD1","P004",0.57741083,"deep"
2151,"Aricidea (Acmira) sp SD1","P004",32.30160093,"mid"
2151,"Aricidea (Acmira) sp SD1","P004",40.79202483,"shallow"
2626,"Aricidea (Acmira) sp SD2","P004",0.57741083,"deep"
2626,"Aricidea (Acmira) sp SD2","P004",32.30160093,"mid"
2626,"Aricidea (Acmira) sp SD2","P004",40.79202483,"shallow"
2827,"Aricidea (Acmira) sp SD3","P004",0.57741083,"deep"
2827,"Aricidea (Acmira) sp SD3","P004",32.30160093,"mid"
2827,"Aricidea (Acmira) sp SD3","P004",40.79202483,"shallow"
51,"Acoetes pacifica","P005",-14.79636932,"deep"
51,"Acoetes pacifica","P005",-11.32911728,"mid"
51,"Acoetes pacifica","P005",NA,"shallow"
592,"Acteocina cerealis","P006",16.97116966,"deep"
592,"Acteocina cerealis","P006",14.80586526,"mid"
592,"Acteocina cerealis","P006",-2.061053407,"shallow"
2296,"Acteocina culcitella","P006",16.97116966,"deep"
2296,"Acteocina culcitella","P006",14.80586526,"mid"
2296,"Acteocina culcitella","P006",-2.061053407,"shallow"
616,"Acteocina harpa","P007",NA,"deep"
616,"Acteocina harpa","P007",32.7650907,"mid"
616,"Acteocina harpa","P007",6.559296966,"shallow"
2008,"Acteocina inculta","P008",NA,"deep"
2008,"Acteocina inculta","P008",NA,"mid"
2008,"Acteocina inculta","P008",57.34264302,"shallow"
1011,"Acteon traskii","P009",NA,"deep"
1011,"Acteon traskii","P009",5.71502123,"mid"
1011,"Acteon traskii","P009",35.3439514,"shallow"
737,"Adontorhina cyclia","P011",-7.525786745,"deep"
737,"Adontorhina cyclia","P011",-21.11558089,"mid"
737,"Adontorhina cyclia","P011",NA,"shallow"
2641,"Aricidea (Aedicira) pacifica","P012",NA,"deep"
2641,"Aricidea (Aedicira) pacifica","P012",14.40520831,"mid"
2641,"Aricidea (Aedicira) pacifica","P012",NA,"shallow"
759,"Aglaja ocelligera","P013",57.82386364,"deep"
759,"Aglaja ocelligera","P013",35.63636091,"mid"
759,"Aglaja ocelligera","P013",27.96006073,"shallow"
1610,"Aglaophamus erectans","P014",18.99415172,"deep"
1610,"Aglaophamus erectans","P014",NA,"mid"
1610,"Aglaophamus erectans","P014",NA,"shallow"
79,"Aglaophamus verrilli","P015",-0.670267894,"deep"
79,"Aglaophamus verrilli","P015",-16.5376813,"mid"
79,"Aglaophamus verrilli","P015",NA,"shallow"
2689,"Alia tuberosa","P016",NA,"deep"
2689,"Alia tuberosa","P016",148.1797369,"mid"
2689,"Alia tuberosa","P016",120.919349,"shallow"
1158,"Aricidea (Allia) antennata","P017",9.390053931,"deep"
1158,"Aricidea (Allia) antennata","P017",-7.950453779,"mid"
1158,"Aricidea (Allia) antennata","P017",NA,"shallow"
108,"Aricidea (Allia) hartleyi","P018",NA,"deep"
108,"Aricidea (Allia) hartleyi","P018",-8.218886508,"mid"
108,"Aricidea (Allia) hartleyi","P018",NA,"shallow"
153,"Aricidea (Allia) sp A","P019",-7.787916303,"deep"
153,"Aricidea (Allia) sp A","P019",-4.761212056,"mid"
153,"Aricidea (Allia) sp A","P019",16.41637254,"shallow"
1271,"Strongylocentrotus fragilis","P020",23.61781263,"deep"
1271,"Strongylocentrotus fragilis","P020",NA,"mid"
1271,"Strongylocentrotus fragilis","P020",NA,"shallow"
1192,"Alvania compacta","P021",NA,"deep"
1192,"Alvania compacta","P021",-5.606906616,"mid"
1192,"Alvania compacta","P021",NA,"shallow"
1039,"Alvania rosana","P022",-22.99111636,"deep"
1039,"Alvania rosana","P022",-46.50147149,"mid"
1039,"Alvania rosana","P022",NA,"shallow"
284,"Amaeana occidentalis","P023",-11.62162228,"deep"
284,"Amaeana occidentalis","P023",27.96298006,"mid"
284,"Amaeana occidentalis","P023",1.429501678,"shallow"
78,"Amage anops","P024",-14.18200316,"deep"
78,"Amage anops","P024",21.93076898,"mid"
78,"Amage anops","P024",10.95949763,"shallow"
553,"Ampelisca agassizi","P025",-7.875277847,"deep"
553,"Ampelisca agassizi","P025",3.78701425,"mid"
553,"Ampelisca agassizi","P025",-3.158556347,"shallow"
1105,"Ampelisca brachycladus","P026",NA,"deep"
1105,"Ampelisca brachycladus","P026",18.38589365,"mid"
1105,"Ampelisca brachycladus","P026",17.96878756,"shallow"
421,"Ampelisca brevisimulata","P027",-5.104562921,"deep"
421,"Ampelisca brevisimulata","P027",17.41832963,"mid"
421,"Ampelisca brevisimulata","P027",19.942732,"shallow"
1783,"Ampelisca cf brevisimulata","P027",-5.104562921,"deep"
1783,"Ampelisca cf brevisimulata","P027",17.41832963,"mid"
1783,"Ampelisca cf brevisimulata","P027",19.942732,"shallow"
861,"Ampelisca careyi","P028",-7.788808807,"deep"
861,"Ampelisca careyi","P028",-11.30254868,"mid"
861,"Ampelisca careyi","P028",16.11326105,"shallow"
557,"Ampelisca cristata cristata","P029",NA,"deep"
557,"Ampelisca cristata cristata","P029",20.01738704,"mid"
557,"Ampelisca cristata cristata","P029",15.06660773,"shallow"
1687,"Ampelisca cristata microdentata","P029",NA,"deep"
1687,"Ampelisca cristata microdentata","P029",20.01738704,"mid"
1687,"Ampelisca cristata microdentata","P029",15.06660773,"shallow"
377,"Ampelisca hancocki","P030",-11.70963951,"deep"
377,"Ampelisca hancocki","P030",-10.34017983,"mid"
377,"Ampelisca hancocki","P030",22.38559716,"shallow"
1127,"Ampelisca indentata","P031",NA,"deep"
1127,"Ampelisca indentata","P031",-10.48289682,"mid"
1127,"Ampelisca indentata","P031",17.30663889,"shallow"
956,"Ampelisca milleri","P032",NA,"deep"
956,"Ampelisca milleri","P032",2.921402972,"mid"
956,"Ampelisca milleri","P032",6.108687396,"shallow"
420,"Ampelisca pacifica","P033",-2.442327853,"deep"
420,"Ampelisca pacifica","P033",-7.966473654,"mid"
420,"Ampelisca pacifica","P033",50.37699288,"shallow"
429,"Ampelisca pugetica","P034",-31.24388681,"deep"
429,"Ampelisca pugetica","P034",-1.666887718,"mid"
429,"Ampelisca pugetica","P034",13.23733803,"shallow"
1435,"Ampelisca romigi","P035",NA,"deep"
1435,"Ampelisca romigi","P035",13.55283289,"mid"
1435,"Ampelisca romigi","P035",43.92832049,"shallow"
2469,"Ampelisca unsocalae","P037",28.10017547,"deep"
2469,"Ampelisca unsocalae","P037",18.98649138,"mid"
2469,"Ampelisca unsocalae","P037",25.65085288,"shallow"
494,"Ampelisciphotis podophthalma","P038",NA,"deep"
494,"Ampelisciphotis podophthalma","P038",-0.109591109,"mid"
494,"Ampelisciphotis podophthalma","P038",12.46267081,"shallow"
1162,"Ampharete acutifrons","P039",22.66454404,"deep"
1162,"Ampharete acutifrons","P039",-8.77056626,"mid"
1162,"Ampharete acutifrons","P039",NA,"shallow"
15,"Ampharete finmarchica","P040",-5.019667423,"deep"
15,"Ampharete finmarchica","P040",14.72625786,"mid"
15,"Ampharete finmarchica","P040",10.09351462,"shallow"
71,"Ampharete labrops","P041",NA,"deep"
71,"Ampharete labrops","P041",52.4628037,"mid"
71,"Ampharete labrops","P041",52.32792817,"shallow"
784,"Amphichondrius granulatus","P042",-15.27666964,"deep"
784,"Amphichondrius granulatus","P042",-18.63707535,"mid"
784,"Amphichondrius granulatus","P042",NA,"shallow"
1535,"Amphicteis glabra","P043",NA,"deep"
1535,"Amphicteis glabra","P043",-1.617726739,"mid"
1535,"Amphicteis glabra","P043",NA,"shallow"
327,"Amphicteis scaphobranchiata","P044",7.223136079,"deep"
327,"Amphicteis scaphobranchiata","P044",29.01421626,"mid"
327,"Amphicteis scaphobranchiata","P044",33.30273761,"shallow"
549,"Amphideutopus oculatus","P045",-5.244228124,"deep"
549,"Amphideutopus oculatus","P045",8.27881907,"mid"
549,"Amphideutopus oculatus","P045",-1.140956158,"shallow"
764,"Amphiodia sp","P046",-12.22541824,"deep"
764,"Amphiodia sp","P046",-8.564699037,"mid"
764,"Amphiodia sp","P046",48.71258849,"shallow"
786,"Amphiodia digitata","P046",-12.22541824,"deep"
786,"Amphiodia digitata","P046",-8.564699037,"mid"
786,"Amphiodia digitata","P046",48.71258849,"shallow"
797,"Amphiodia urtica","P046",-12.22541824,"deep"
797,"Amphiodia urtica","P046",-8.564699037,"mid"
797,"Amphiodia urtica","P046",48.71258849,"shallow"
1126,"Amphiodia psara","P046",-12.22541824,"deep"
1126,"Amphiodia psara","P046",-8.564699037,"mid"
1126,"Amphiodia psara","P046",48.71258849,"shallow"
889,"Amphioplus sp A","P047",-3.790621597,"deep"
889,"Amphioplus sp A","P047",2.344453159,"mid"
889,"Amphioplus sp A","P047",1.128189276,"shallow"
2449,"Amphioplus strongyloplax","P047",-3.790621597,"deep"
2449,"Amphioplus strongyloplax","P047",2.344453159,"mid"
2449,"Amphioplus strongyloplax","P047",1.128189276,"shallow"
2534,"Amphioplus sp","P047",-3.790621597,"deep"
2534,"Amphioplus sp","P047",2.344453159,"mid"
2534,"Amphioplus sp","P047",1.128189276,"shallow"
1142,"Amphipholis squamata","P048",-10.03964746,"deep"
1142,"Amphipholis squamata","P048",-9.340818387,"mid"
1142,"Amphipholis squamata","P048",19.6936241,"shallow"
1560,"Amphipholis pugetana","P048",-10.03964746,"deep"
1560,"Amphipholis pugetana","P048",-9.340818387,"mid"
1560,"Amphipholis pugetana","P048",19.6936241,"shallow"
2693,"Amphipholis sp","P048",-10.03964746,"deep"
2693,"Amphipholis sp","P048",-9.340818387,"mid"
2693,"Amphipholis sp","P048",19.6936241,"shallow"
709,"Amphissa undata","P049",76.17220007,"deep"
709,"Amphissa undata","P049",-20.77628586,"mid"
709,"Amphissa undata","P049",3.051220554,"shallow"
1464,"Amphissa versicolor","P050",NA,"deep"
1464,"Amphissa versicolor","P050",0.285948778,"mid"
1464,"Amphissa versicolor","P050",NA,"shallow"
798,"Amphiura arcystata","P051",-28.86239531,"deep"
798,"Amphiura arcystata","P051",-24.90503179,"mid"
798,"Amphiura arcystata","P051",22.06976177,"shallow"
666,"Amygdalum pallidulum","P052",-20.05590057,"deep"
666,"Amygdalum pallidulum","P052",-23.37394045,"mid"
666,"Amygdalum pallidulum","P052",NA,"shallow"
516,"Anchicolurus occidentalis","P053",NA,"deep"
516,"Anchicolurus occidentalis","P053",NA,"mid"
516,"Anchicolurus occidentalis","P053",-39.12706863,"shallow"
180,"Ancistrosyllis hamata","P054",25.80314495,"deep"
180,"Ancistrosyllis hamata","P054",56.32509127,"mid"
180,"Ancistrosyllis hamata","P054",40.10103515,"shallow"
1577,"Ancistrosyllis groenlandica","P054",25.80314495,"deep"
1577,"Ancistrosyllis groenlandica","P054",56.32509127,"mid"
1577,"Ancistrosyllis groenlandica","P054",40.10103515,"shallow"
2216,"Ancistrosyllis sp","P054",25.80314495,"deep"
2216,"Ancistrosyllis sp","P054",56.32509127,"mid"
2216,"Ancistrosyllis sp","P054",40.10103515,"shallow"
838,"Anobothrus gracilis","P055",8.29188909,"deep"
838,"Anobothrus gracilis","P055",-11.15637239,"mid"
838,"Anobothrus gracilis","P055",NA,"shallow"
1152,"Anonyx lilljeborgi","P056",NA,"deep"
1152,"Anonyx lilljeborgi","P056",-24.38118623,"mid"
1152,"Anonyx lilljeborgi","P056",NA,"shallow"
1012,"Anotomastus gordiodes","P057",NA,"deep"
1012,"Anotomastus gordiodes","P057",11.23355285,"mid"
1012,"Anotomastus gordiodes","P057",-11.04298826,"shallow"
548,"Aoroides columbiae","P058",-25.96555185,"deep"
548,"Aoroides columbiae","P058",14.17370493,"mid"
548,"Aoroides columbiae","P058",0.806286714,"shallow"
906,"Aoroides sp","P058",-25.96555185,"deep"
906,"Aoroides sp","P058",14.17370493,"mid"
906,"Aoroides sp","P058",0.806286714,"shallow"
922,"Aoroides exilis","P058",-25.96555185,"deep"
922,"Aoroides exilis","P058",14.17370493,"mid"
922,"Aoroides exilis","P058",0.806286714,"shallow"
923,"Aoroides spinosa","P058",-25.96555185,"deep"
923,"Aoroides spinosa","P058",14.17370493,"mid"
923,"Aoroides spinosa","P058",0.806286714,"shallow"
1029,"Aoroides inermis","P058",-25.96555185,"deep"
1029,"Aoroides inermis","P058",14.17370493,"mid"
1029,"Aoroides inermis","P058",0.806286714,"shallow"
1087,"Aoroides intermedia","P058",-25.96555185,"deep"
1087,"Aoroides intermedia","P058",14.17370493,"mid"
1087,"Aoroides intermedia","P058",0.806286714,"shallow"
1703,"Aoroides sp A","P058",-25.96555185,"deep"
1703,"Aoroides sp A","P058",14.17370493,"mid"
1703,"Aoroides sp A","P058",0.806286714,"shallow"
2197,"Aoroides secundus","P058",-25.96555185,"deep"
2197,"Aoroides secundus","P058",14.17370493,"mid"
2197,"Aoroides secundus","P058",0.806286714,"shallow"
178,"Monticellina siblina","P059",39.28049587,"deep"
178,"Monticellina siblina","P059",85.58269517,"mid"
178,"Monticellina siblina","P059",68.80357744,"shallow"
842,"Aphelochaeta glandaria Cmplx","P059",39.28049587,"deep"
842,"Aphelochaeta glandaria Cmplx","P059",85.58269517,"mid"
842,"Aphelochaeta glandaria Cmplx","P059",68.80357744,"shallow"
843,"Monticellina cryptica","P059",39.28049587,"deep"
843,"Monticellina cryptica","P059",85.58269517,"mid"
843,"Monticellina cryptica","P059",68.80357744,"shallow"
1433,"Protocirrineris sp A","P059",39.28049587,"deep"
1433,"Protocirrineris sp A","P059",85.58269517,"mid"
1433,"Protocirrineris sp A","P059",68.80357744,"shallow"
1489,"Aphelochaeta monilaris","P059",39.28049587,"deep"
1489,"Aphelochaeta monilaris","P059",85.58269517,"mid"
1489,"Aphelochaeta monilaris","P059",68.80357744,"shallow"
1499,"Aphelochaeta sp","P059",39.28049587,"deep"
1499,"Aphelochaeta sp","P059",85.58269517,"mid"
1499,"Aphelochaeta sp","P059",68.80357744,"shallow"
1516,"Monticellina sp","P059",39.28049587,"deep"
1516,"Monticellina sp","P059",85.58269517,"mid"
1516,"Monticellina sp","P059",68.80357744,"shallow"
1562,"Aphelochaeta sp LA1","P059",39.28049587,"deep"
1562,"Aphelochaeta sp LA1","P059",85.58269517,"mid"
1562,"Aphelochaeta sp LA1","P059",68.80357744,"shallow"
1573,"Aphelochaeta tigrina","P059",39.28049587,"deep"
1573,"Aphelochaeta tigrina","P059",85.58269517,"mid"
1573,"Aphelochaeta tigrina","P059",68.80357744,"shallow"
1829,"Monticellina tesselata","P059",39.28049587,"deep"
1829,"Monticellina tesselata","P059",85.58269517,"mid"
1829,"Monticellina tesselata","P059",68.80357744,"shallow"
1883,"Protocirrineris sp B","P059",39.28049587,"deep"
1883,"Protocirrineris sp B","P059",85.58,"mid"
1883,"Protocirrineris sp B","P059",68.80357744,"shallow"
1887,"Aphelochaeta phillipsi","P059",39.28049587,"deep"
1887,"Aphelochaeta phillipsi","P059",85.58269517,"mid"
1887,"Aphelochaeta phillipsi","P059",68.80357744,"shallow"
1888,"Aphelochaeta williamsae","P059",39.28049587,"deep"
1888,"Aphelochaeta williamsae","P059",85.58269517,"mid"
1888,"Aphelochaeta williamsae","P059",68.80357744,"shallow"
1935,"Monticellina serratiseta","P059",39.28049587,"deep"
1935,"Monticellina serratiseta","P059",85.58269517,"mid"
1935,"Monticellina serratiseta","P059",68.80357744,"shallow"
2109,"Monticellina sp SD4","P059",39.28049587,"deep"
2109,"Monticellina sp SD4","P059",85.58269517,"mid"
2109,"Monticellina sp SD4","P059",68.80357744,"shallow"
2123,"Aphelochaeta sp HYP2","P059",39.28049587,"deep"
2123,"Aphelochaeta sp HYP2","P059",85.58269517,"mid"
2123,"Aphelochaeta sp HYP2","P059",68.80357744,"shallow"
2171,"Aphelochaeta sp SD3","P059",39.28049587,"deep"
2171,"Aphelochaeta sp SD3","P059",85.58269517,"mid"
2171,"Aphelochaeta sp SD3","P059",68.80357744,"shallow"
2272,"Aphelochaeta sp LA2","P059",39.28049587,"deep"
2272,"Aphelochaeta sp LA2","P059",85.58269517,"mid"
2272,"Aphelochaeta sp LA2","P059",68.80357744,"shallow"
2282,"Aphelochaeta sp SD5","P059",39.28049587,"deep"
2282,"Aphelochaeta sp SD5","P059",85.58269517,"mid"
2282,"Aphelochaeta sp SD5","P059",68.80357744,"shallow"
2397,"Aphelochaeta petersenae","P059",39.28049587,"deep"
2397,"Aphelochaeta petersenae","P059",85.58269517,"mid"
2397,"Aphelochaeta petersenae","P059",68.80357744,"shallow"
2572,"Monticellina sp SD7","P059",39.28049587,"deep"
2572,"Monticellina sp SD7","P059",85.58269517,"mid"
2572,"Monticellina sp SD7","P059",68.80357744,"shallow"
2629,"Monticellina sp SD8","P059",39.28049587,"deep"
2629,"Monticellina sp SD8","P059",85.58269517,"mid"
2629,"Monticellina sp SD8","P059",68.80357744,"shallow"
2721,"Aphelochaeta sp SD13","P059",39.28049587,"deep"
2721,"Aphelochaeta sp SD13","P059",85.58269517,"mid"
2721,"Aphelochaeta sp SD13","P059",68.80357744,"shallow"
2732,"Aphelochaeta sp SD14","P059",39.28049587,"deep"
2732,"Aphelochaeta sp SD14","P059",85.58269517,"mid"
2732,"Aphelochaeta sp SD14","P059",68.80357744,"shallow"
2733,"Aphelochaeta sp SD15","P059",39.28049587,"deep"
2733,"Aphelochaeta sp SD15","P059",85.58269517,"mid"
2733,"Aphelochaeta sp SD15","P059",68.80357744,"shallow"
2734,"Aphelochaeta sp SD16","P059",39.28049587,"deep"
2734,"Aphelochaeta sp SD16","P059",85.58269517,"mid"
2734,"Aphelochaeta sp SD16","P059",68.80357744,"shallow"
2735,"Aphelochaeta sp SD17","P059",39.28049587,"deep"
2735,"Aphelochaeta sp SD17","P059",85.58269517,"mid"
2735,"Aphelochaeta sp SD17","P059",68.80357744,"shallow"
2743,"Monticellina sp SD9","P059",39.28049587,"deep"
2743,"Monticellina sp SD9","P059",85.58269517,"mid"
2743,"Monticellina sp SD9","P059",68.80357744,"shallow"
2774,"Monticellina sp 1","P059",39.28049587,"deep"
2774,"Monticellina sp 1","P059",85.58269517,"mid"
2774,"Monticellina sp 1","P059",68.80357744,"shallow"
2775,"Monticellina sp SD10","P059",39.28049587,"deep"
2775,"Monticellina sp SD10","P059",85.58269517,"mid"
2775,"Monticellina sp SD10","P059",68.80357744,"shallow"
168,"Aphrodita sp","P060",NA,"deep"
168,"Aphrodita sp","P060",3.339510846,"mid"
168,"Aphrodita sp","P060",11.37759756,"shallow"
1047,"Aphrodita refulgida","P060",NA,"deep"
1047,"Aphrodita refulgida","P060",3.339510846,"mid"
1047,"Aphrodita refulgida","P060",11.37759756,"shallow"
1462,"Aphrodita armifera","P060",NA,"deep"
1462,"Aphrodita armifera","P060",3.339510846,"mid"
1462,"Aphrodita armifera","P060",11.37759756,"shallow"
2563,"Aphrodita castanea","P060",NA,"deep"
2563,"Aphrodita castanea","P060",3.339510846,"mid"
2563,"Aphrodita castanea","P060",11.37759756,"shallow"
2633,"Aphrodita longipalpa","P060",NA,"deep"
2633,"Aphrodita longipalpa","P060",3.339510846,"mid"
2633,"Aphrodita longipalpa","P060",11.37759756,"shallow"
2642,"Aphrodita sp A","P060",NA,"deep"
2642,"Aphrodita sp A","P060",3.339510846,"mid"
2642,"Aphrodita sp A","P060",11.37759756,"shallow"
998,"Apistobranchus ornatus","P061",NA,"deep"
998,"Apistobranchus ornatus","P061",-21.01640865,"mid"
998,"Apistobranchus ornatus","P061",6.122298534,"shallow"
1520,"Limifossor fratula","P062",9.937923055,"deep"
1520,"Limifossor fratula","P062",19.19628494,"mid"
1520,"Limifossor fratula","P062",37.87627117,"shallow"
2349,"Chaetoderma marinelli","P062",9.937923055,"deep"
2349,"Chaetoderma marinelli","P062",19.19628494,"mid"
2349,"Chaetoderma marinelli","P062",37.87627117,"shallow"
2350,"Chaetoderma pacificum","P062",9.937923055,"deep"
2350,"Chaetoderma pacificum","P062",19.19628494,"mid"
2350,"Chaetoderma pacificum","P062",37.87627117,"shallow"
2351,"Falcidens longus","P062",9.937923055,"deep"
2351,"Falcidens longus","P062",19.19628494,"mid"
2351,"Falcidens longus","P062",37.87627117,"shallow"
2367,"Falcidens sp","P062",9.937923055,"deep"
2367,"Falcidens sp","P062",19.19628494,"mid"
2367,"Falcidens sp","P062",37.87627117,"shallow"
2368,"Chaetoderma sp","P062",9.937923055,"deep"
2368,"Chaetoderma sp","P062",19.19628494,"mid"
2368,"Chaetoderma sp","P062",37.87627117,"shallow"
2391,"Chaetoderma elegans","P062",9.937923055,"deep"
2391,"Chaetoderma elegans","P062",19.19628494,"mid"
2391,"Chaetoderma elegans","P062",37.87627117,"shallow"
2550,"Chaetoderma nanulum","P062",9.937923055,"deep"
2550,"Chaetoderma nanulum","P062",19.19628494,"mid"
2550,"Chaetoderma nanulum","P062",37.87627117,"shallow"
2551,"Chaetoderma sp SD1","P062",9.937923055,"deep"
2551,"Chaetoderma sp SD1","P062",19.19628494,"mid"
2551,"Chaetoderma sp SD1","P062",37.87627117,"shallow"
2615,"Falcidens hartmanae","P062",9.937923055,"deep"
2615,"Falcidens hartmanae","P062",19.19628494,"mid"
2615,"Falcidens hartmanae","P062",37.87627117,"shallow"
2697,"Falcidens macracanthos","P062",9.937923055,"deep"
2697,"Falcidens macracanthos","P062",19.19628494,"mid"
2697,"Falcidens macracanthos","P062",37.87627117,"shallow"
2759,"Chaetoderma sp A","P062",9.937923055,"deep"
2759,"Chaetoderma sp A","P062",19.19628494,"mid"
2759,"Chaetoderma sp A","P062",37.87627117,"shallow"
80,"Apoprionospio pygmaea","P063",NA,"deep"
80,"Apoprionospio pygmaea","P063",26.20345803,"mid"
80,"Apoprionospio pygmaea","P063",17.20755342,"shallow"
17,"Arabella sp","P064",NA,"deep"
17,"Arabella sp","P064",36.42176764,"mid"
17,"Arabella sp","P064",48.89289328,"shallow"
1907,"Araphura breviaria","P065",6.653105705,"deep"
1907,"Araphura breviaria","P065",-0.355800641,"mid"
1907,"Araphura breviaria","P065",13.83486723,"shallow"
1908,"Araphura cuspirostris","P066",3.929001197,"deep"
1908,"Araphura cuspirostris","P066",-3.327214869,"mid"
1908,"Araphura cuspirostris","P066",NA,"shallow"
427,"Argissa hamatipes","P067",NA,"deep"
427,"Argissa hamatipes","P067",26.15344977,"mid"
427,"Argissa hamatipes","P067",22.7500815,"shallow"
1840,"Arhynchite californicus","P068",59.5369282,"deep"
1840,"Arhynchite californicus","P068",NA,"mid"
1840,"Arhynchite californicus","P068",NA,"shallow"
83,"Aricidea (Aricidea) wassi","P069",NA,"deep"
83,"Aricidea (Aricidea) wassi","P069",24.5192545,"mid"
83,"Aricidea (Aricidea) wassi","P069",12.97300784,"shallow"
232,"Armandia brevis","P070",138.4682043,"deep"
232,"Armandia brevis","P070",142.0152919,"mid"
232,"Armandia brevis","P070",129.0264951,"shallow"
720,"Armina californica","P071",NA,"deep"
720,"Armina californica","P071",32.5003269,"mid"
720,"Armina californica","P071",43.96745352,"shallow"
422,"Artacamella hancocki","P072",-26.74754024,"deep"
422,"Artacamella hancocki","P072",-9.908481997,"mid"
