,distID,site_match,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments
9,2002 RWSYS,NA,5700 Erlanger Drive,32.84681248,-117.1959661,Monthly,Wed,central 1,recycled,,Changed from Wednesday
10,1005 SYS,NA,5240 Convoy Street,32.84151,-117.15027,Monthly,Mon,central 1,,,Changed to Monthly
13,211 SYS,NA,7225 Kighlefy St.,32.801826,-117.082352,Deprecated,Tue,central 1,,,"delete, deprecated to 211A"
21,241SYS,NA,9440 Carroll Park Dr,NA,NA,Monthly,,,,,From 2011 sampling plan; need lat/lon
31,344 SYS,NA,Westview Parkway & Compass Point Drive North,32.93057521,-117.1221213,Thu,,,stanchion,,Not in 2011 sampling plan
47,292 SYS_B1,NA,14799 Black Mountain Road,32.98523,-117.12787,Mon,,North,impound,required,
48,292 SYS_B2,NA,14799 Black Mountain Road,32.98523,-117.12787,Mon,,North,impound,required,
59,111 SYS,NA,7950 Wingspan Drive,32.80771,-117.02608,Mon,,,impound,required,
65,1 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
66,3 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
73,88 SYS,NA,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,
75,91 SYS,NA,5540 Kiowa Drive,32.78016,-117.04094,Mon,Mon,south,plant,required,
118,138A SYS,NA,4202 N. Harbor Drive,32.72886046,-117.2103685,Tue,Tue,central 2,,required,
120,1 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
121,3 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
123,MIR SETTLED,NA,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
128,88 SYS,NA,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,
129,ALV SETTLED,NA,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,
131,91 SYS,NA,5540 Kiowa Drive,32.78016,-117.04094,Tue,Tue,south,plant,required,
134,97 SYS,NA,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,
136,OT SETTLED,NA,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,
137,OT FILTER 1-8,NA,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,
138,OT FILTER 9-16,NA,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,
139,OT COMB FILTER,NA,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,
146,1006 RWSYS,NA,Gregg Street & Flint Place,32.93668874,-117.0402215,Wed,,,,,
154,12N SYS,NA,1975 Parkview Terrace,32.81712356,-117.2388494,Wed,Wed,central 2,impound,required,
155,12S SYS,NA,1975  Parkview Terrace,32.81712356,-117.2388494,Wed,Wed,central 2,impound,required,
163,2000 RWSYS,NA,9540/9550 Towne Center Drive,32.88021473,-117.2081513,Wed,Wed,central 1,recycled,,
164,2009 RWSYS,NA,4949 East Gate Mall Drive,32.878097,-117.197788,Wed,Wed,central 1,recycled,,
172,16A SYS,NA,200 Catalina Blvd,32.70777731,-117.2494152,Wed,Mon,central 1,impound,required,
179,1 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,
180,3 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,
182,119 SYS,NA,1500 Wueste Road,32.640972,-116.934584,Wed,Wed,south,plant,required,
187,88 SYS,NA,5540 Kiowa Drive,32.78053,-117.04553,Wed,Wed,south,plant,required,
189,91 SYS,NA,5540 Kiowa Drive,32.78016,-117.04094,Wed,Wed,south,plant,required,
193,1004 RWSYS,NA,10200 Meanley Drive,32.90900259,-117.1066677,Thu,,,recycled,,
197,1000 RWSYS,NA,Angelique & Scripps Poway Parkway,32.93449942,-117.0729516,Thu,,,recycled,,
213,2001 RWSYS,NA,7474 Charmant Drive,32.86582325,-117.2287174,Thu,Thu,central 1,recycled,,
216,321 SYS,NA,Felspar and Haines,32.80029268,-117.2429931,Thu,Thu,central 2,,,
221,134A SYS,NA,Herrick & 65th ,32.71143617,-117.0580531,Thu,Thu,south,,,
234,1 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Thu,Thu,central 1,plant,required,
235,3 SYS,NA,10710 Scripps Lake Drive,32.912,-117.09903,Thu,Thu,central 1,plant,required,
241,88 SYS,NA,5540 Kiowa Drive,32.78053,-117.04553,Thu,Thu,south,plant,required,
243,91 SYS,NA,5540 Kiowa Drive,32.78016,-117.04094,Thu,Thu,south,plant,required,
1,326 SYS,TRUE,8555 Run of the Knolls Drive,32.99057,-117.13619,Monthly,,North,,,changed from Monday
2,270A SYS,TRUE,Rancho Del Sol Way & Rancho Del Azaleas Way,32.96483672,-117.1785255,Tue,,,,,changed from Thursday
