FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,FAC_NAME,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
534843,SLOC,SAMPLE LOCATION,W,ALLIED GARDENS,355,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,209 SYS,N,,4605 VANDEVER AVE; (W. END OR PUBLIC PARK) SAMPLE STANCHION,,,N,0,0,A,349,J15S,5,1249J7,4605,,VANDEVER,AV,,,6301791.001,1867336.877,1740406.79,226892.8766,,N,179.54,,,,,UW-WS-TRN-SLOC-S103,IF?0100000000000142318
527280,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,60 SYS,N,,3902 9TH  AV; FIRE STATION/SAMPLE STANCHION,,,N,0,0,A,703,G19S,2,1269B5,0,,,,,,6282931.47,1853361.837,1721547.164,212917.8373,,N,89.93,,,,,UW-WS-TRN-SLOC-S084,IF?0100000000000142256
539387,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,170 SYS,N,,S VALENCIA PKWY/WESMEAD ST; SAMPLE STANCHION,,,N,0,0,A,421,K24S,3,1290C5,0,,,,,,6309453.202,1833704.016,1748069.029,193260.0157,,Y,0,,,,,UW-WS-TRN-SLOC-S112,IF?0100000000000142530
5053998,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.38,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,116 SYS,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,,,N,0,0,A,1171,H18S,5,1269D4,0,,,,,,6289579.577,1855403.816,1728195.305,214959.8156,,N,178.23,26314,5,D,,UW-WS-TRN-SLOC-S002,IF?0100000000000141648
5054000,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,114 SYS,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,,,N,0,0,A,1172,H18S,5,1269D4,0,,,,,,6289580.322,1855613.583,1728196.049,215169.5827,,N,179.52,26314,5,D,,UW-WS-TRN-SLOC-S003,IF?0100000000000141742
5529615,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,144 SYS,N,,BROOKLINE & DATE,,,N,0,0,A,617,J21S,6,1289J2,0,,,,,,6302846.001,1844044.626,1741461.795,203600.626,,N,0,,,,,UW-WS-TRN-SLOC-S294,IF?0100000000000140564
5207085,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,82 SYS,N,,PUMP STATION CONCRETE VAULT - EAST,,,N,0,0,A,409,M16S,1,1.25E+10,5540,,KIOWA,DR,,,6317071.102,1864804.954,1755686.968,224360.9541,,N,-30.43,,,,,UW-WS-TRN-SLOC-S169,IF?0100000000000141638
5207086,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,81 SYS,N,,PUMP STATION CONCRETE VAULT - WEST,,,N,0,0,A,410,M16S,1,1.27E+04,5540,,KIOWA,DR,,,6316941.355,1864755.295,1755557.22,224311.2953,,N,-125.28,,,,,UW-WS-TRN-SLOC-S170,IF?0100000000000141966
5207087,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,90 SYS,N,,EARL THOMAS RESERVOIR,,,N,0,0,A,411,M16S,1,1270F1,5540,,KIOWA,DR,,,6318384.967,1864675.856,1757000.839,224231.8563,,N,0,,,,,UW-WS-TRN-SLOC-S171,IF?0100000000000142115
5207088,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,C89,N,,BELOW DAM WEST OF CLEARWELLS,,,N,0,0,A,412,M16S,1,1250F7,5540,,KIOWA,DR,,,6317198.717,1864875.719,1755814.583,224431.7185,,N,0,,,,,UW-WS-TRN-SLOC-S172,IF?0100000000000141869
