"* Source","* Valid","*Source Type","Source  ID","Source Name","Report Grouping","Report Order #","Pressure Zone","PS Code","* Description"," Comments","Street Name","Street Suffix","Street Direction","Street Number","Street Abbreviation","Suite Number","City","State","Zip code prefix","Zip code suffix"," Location"," Latitude"," Longitude","Lat/Long Coordinate Units"," Depth","Depth Units","Depth  Basis","Date Established","Date Discontinued"," GIS ID"," DMR ID","CIWQS Monitoring Location ID","Required Control Type"
"264 SYS","Y","DIST_SYS","","SYS",".",,"450","","10460 Viacha Dr","450 Tierrasanta Sur Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"67 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"680(51)","3710020-910","Pomerado Rd & Grandee Pl","680 Bernardo oaks (East of I-15) Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"68 SYS","Y","DIST_SYS","","SYS",".",,"920","","Oviedo St & Black Mountain Rd","920 Penasquitos Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"172 SYS","Y","DIST_SYS","","SYS",".",,"","","200 Marina Pk Way in Embarcadero Marino Park","231 Principal Downtown Zone","","","","","","","","","","","Stanchion","","","",,"","",,05/31/2006,"","","",""
"149 SYS","Y","DIST_SYS","","SYS",".",,"","","Park Blvd & Meade","","","","","","","","","","","","","","","",,"","",,,"","","",""
"3 SYS","Y","PLANTS","","PLANTS","WriteOn",,"712","3710020-006","Miramar WTP  Effluent-10710 Scripps Lk Dr","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"239 SYS","Y","DIST_SYS","","SYS",".",,"358","","1761 Petra Dr.  Meter#92013300","358 Arnold Hills Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"249 SYS","Y","DIST_SYS","","SYS",".",,"320","","6309 Glidden St; Sample Stanchion","320 Glidden Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"261 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"440","3710020-914","Via Campestre & Camto Punta Arenas","440 San Andres Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"2006 RWSYS","Y","NCW_DIST","","NCW",".",,"550","","7356 Trade St., North side of street","550 Sorrento","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"53 SYS","Y","DIST_SYS","","SYS",".",,"390(418)","","2433 Denver St. Public School/Sample Stanchion","390 University Heights Zone","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"284 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"680","3710020-904","Ocean View Hills Pkwy and Sea Drift Way","","","","","","","","","","","","Dist Sys","","","",,"","",,,"","","",""
"285 SYS","Y","DIST_SYS","","SYS",".",,"536(35)","","Jamacha Rd & 68th St (SE corner near Boys Club)","536 Alvarado South East Zone","","","","","","","","","","","","","","",,"","",02/21/2001,,"","","",""
"56 SYS","Y","DIST_SYS","","SYS",".",,"","","Raytheon & Convoy","","","","","","","","","","","","","","","",,"","",,,"","","",""
