X,DistributionID,00distID,distID,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments
115,224,0224 SYS,224 SYS,10054 Avenida Magnifica,32.90801522,-117.083614,Wed,,,,,
173,1004 RWSYS,1004 RWSYS,1004 RWSYS,10200 Meanley Drive,32.909708,-117.104654,Monthly,,,recycled,,Changed to Monthly prev Thu; (Miramar storage tank); updated GPS 2018-08-28
116,225,0225 SYS,225 SYS,10314 Rue Chantemar,32.90512462,-117.0642145,Wed,,,,,
74,264,0264 SYS,264 SYS,10460 Viacha Drive,32.81022583,-117.0968538,Tue,Tue,central 2,,,
152,206,0206 SYS,206 SYS,1055 Catalina Blvd,32.72550697,-117.2447117,Wed,Mon,central 1,,required,
151,15,0015 SYS,15 SYS,1061 Catalina Blvd,32.72560097,-117.2446867,Deprecated,Mon,central 1,impound,required,"delete, deprecated to15A SYS"
153,15A,015A SYS,15A SYS,1061 Catalina Blvd,32.72560097,-117.2446867,Wed,Mon,central 1,,,
64,49A,0049A SYS,49A SYS,10620 John Jay Hopkins Dr.,32.89445747,-117.2403157,Tue,Tue,central 1,,required,
33,1,0001 SYS,1 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
94,1,0001 SYS,1 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
158,1,0001 SYS,1 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,
219,1,0001 SYS,1 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Thu,Thu,central 1,plant,required,
34,3,0003 SYS,3 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
95,3,0003 SYS,3 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
159,3,0003 SYS,3 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,
220,3,0003 SYS,3 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Thu,Thu,central 1,plant,required,
35,5,0005 SYS,5 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,
96,5,0005 SYS,5 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
160,5,0005 SYS,5 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,
221,5,0005 SYS,5 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Thu,Thu,central 1,plant,required,
97,MIR SETTLED,00MIR SETTLED,MIR SETTLED,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,
55,279,0279 SYS,279 SYS,10885 Cloverhurst Way,32.93173117,-117.2016121,Tue,,,stanchion,,
245,,0064 SYS,64 SYS,11168 Avenida Del Gato & Zapata,32.924245,-117.148113,Deprecated,,North,stanchion,,"New weekly site? From 2011 sampling plan, addede it to Monday for now"
177,185,0185 SYS,185 SYS,11198 Ivy Hill Drive,32.9358381,-117.0891402,Thu,,,,,
2,22,0022 SYS,22 SYS,11225 Spring Canyon Rd,32.92177,-117.06693,Mon,,North,impound,required,
119,22,0022 SYS,22 SYS,11225 Spring Canyon Road REPEAT OF LINE 2,32.92516607,-117.0877235,Duplicate,,,impound,,"delete, duplicate"
,,,TBD 4,11261 Carmel County Rd.,32.9372221,-117.2106582,Monthly,,,recycled,,
120,307,0307 SYS,307 SYS,11455 Eastridge Place,32.92681744,-117.0565047,Wed,,,,,
126,323,0323 SYS,323 SYS,11464 Stonecroft Terrace,32.92382773,-117.0419991,Wed,,,,,
36,238,0238 SYS,238 SYS,11496 Weatherhill Way,32.92741,-117.10033,Mon,,,impound,required,
6,313,0313 SYS,313 SYS,11602 Calle Paracho,33.00098,-117.07918,Mon,,North,stanchion,required,
118,331,0331 SYS,331 SYS,11705 Semillon Blvd,32.92247222,-117.076858,Wed,,,,,
56,339,0339 SYS,339 SYS,11911 Carmel Creek Road,32.93559751,-117.2279458,Monthly,,,stanchion,,changed from Tuesday
4,233,0233 SYS,233 SYS,12110 World Trade Dr,32.98315,-117.07369,Mon,,North,stanchion,,
179,184,0184 SYS,184 SYS,12170 Springhurst Drive,32.93982329,-117.0740784,Thu,,,,required,
176,294,0294 SYS,294 SYS,12195 Branicole Lane,32.94005343,-117.1159502,Thu,,,,,
186,277A,0277A SYS,277A SYS,12241 Camino del Sur,32.94195505,-117.1514531,Thu,,,,required,
187,177,0177 SYS,177 SYS,12350 Black Mountain Road,32.94050402,-117.1290755,Thu,,,,,
,,,TBD 1,12350 Canyonside Park Dr.,32.94158984,-117.1307332,Monthly,,,recycled,,
180,320,0320 SYS,320 SYS,12501 La Tortola,32.9453887,-117.1159966,Thu,,,,,
185,317,0317 SYS,317 SYS,12608 Spindletop Road,32.95104717,-117.136528,Thu,,,,,
156,332,0332 SYS,332 SYS,1277 West G. Street,32.71223865,-117.1744358,Wed,Mon,south,,,
191,245,0245 SYS,245 SYS,12935 Via Latina,32.93477955,-117.247779,Thu,Thu,central 1,,,
192,244,0244 SYS,244 SYS,13051 Portofino Drive,32.93705182,-117.243253,Thu,Thu,central 1,,,
59,179,0179 SYS,179 SYS,13075 Hartfield Avenue,32.95642392,-117.230207,Tue,,,stanchion,,
189,253,0253 SYS,253 SYS,13220 Caminito Mar Villa,32.94006144,-117.2567102,Monthly,,,,,changed from Thursday
16,333,0333 SYS,333 SYS,1329 Gertrude Street,32.77259,-117.20175,Mon,Mon,central 1,,,
214,306,0306 SYS,306 SYS,1332 Kenalan Drive,32.57267286,-117.0488322,Thu,Thu,south,,,
58,286,0286 SYS,286 SYS,13510 Sword Way,32.96287627,-117.215375,Tue,,,stanchion,,
3,13,0013 SYS,13 SYS,13564 Calavados Place @ Shoal Summit,32.96567,-117.07793,Mon,,North,impound,required,
1,316,0316 SYS,316 SYS,13705 Shoal Summit Drive,32.96578,-117.07626,Mon,,North,stanchion,,
63,340,0340 SYS,340 SYS,13880 Crest Way,32.95006321,-117.2556045,Tue,,,stanchion,,"Not in 2011 sampling plan, remove?"
13,234A,0234A SYS,234A SYS,14300 Cuca Street,32.97401,-117.09588,Mon,,North,,,
54,304,0304 SYS,304 SYS,14462 Garden Trail,32.98503285,-117.1640293,Tue,,,stanchion,required,
124,329,0329 SYS,329 SYS,14644 1/2 Old Creek Road,32.92555866,-117.0262377,Wed,,,,,
