City of San Diego Water Department,,,,,,,,,,,,,,,
Water Operations Division,,,,,,,,,,,,,,,
"Water Distribution System Sample Siting Plan, June 2007",,,,,,,,,,,,,,,
Pressure Zone Name,Reservoir Name,Capacity (MG),Zone Elevation (HGL),Field  Book Page,Sampling Route,Sample Site Designator and Laboratory Identification Number,Location Description,Latitude,Longitude,"Sampling Frequency, 2005 Plan",Normal Sampling Day,Approximate Sample Time,Flush Time,Multiple Sample Site depths/elevations,Status
Miramar ,Miramar Regulating #1,20.82,712,J04S,north,5 SYS,10710 Scripps Lake Dr.," 32°54'43.21""N","117° 5'56.53""W",Monday thru Friday,Monday thru Friday,,3-5 min.,No,
Miramar ,Miramar Regulating #2,31.45,712,J04S,north,6 SYS,10710 Scripps Lake Dr.," 32°54'43.16""N","117° 6'2.73""W",Monday thru Friday,Monday thru Friday,,3-5 min.,No,
North City,La Jolla Exchange Place,0.99,610,A10S,central,9 SYS,Al Bahr Dr & Soledad Av ,,,Weekly,,,,,Out of Service
North City,La Jolla View ,0.72,610,B10S,central,10 SYS,Encelia Dr & Brodia Wy ," 32°50'31.51""N","117°15'40.78""W",Weekly,Wednesday,7:45,5-10 min.,No,
Soledad Muirlands,La Jolla Country Club,0.5,725,B10S,central,11 SYS,7247 Encelia Dr," 32°50'29.56""N","117°15'28.35""W",Weekly,Wednesday,8:00,5 min.,No,
Soledad Muirlands,Bayview,10,725,C12S,central,12N SYS_MID,1975 Parkview Terrace,"32°49'4.53""N","117°14'21.61""W",Weekly,Wednesday,6:30,No less than 5 min.,Yes,
Soledad Muirlands,Bayview,10,725,C12S,central,12S SYS_MID,1975 Parkview Terrace,"32°49'4.53""N","117°14'21.61""W",Weekly,Wednesday,6:30,No less than 5 min.,Yes,
Carmel Mall,Carmel Mountain,3.15,920,K02N,north,13 SYS,13564 Calvados @ Shoal Summit," 32°57'56.42""N","117° 4'40.52""W",Weekly,Monday,6:15,15 min.,No,
La Jolla Doledad W,Soledad,1.5,925,B11S,central,14 SYS,La Jolla Scenic Dr & Via Casa Alta," 32°50'16.26""N","117°14'55.11""W",Weekly,Tuesday,7:45,5 min.,No,
Point Loma,Point Loma,10.06,260,B21S,south,15 SYS,1061 Catalina Blvd," 32°43'28.30""N","117°14'39.05""W",Weekly,Wednesday,10:00,3-5 min.,No,
Catalina,Catalina Standpipe,1.5,462,B22S,south,16 SYS,200 Catalina Blvd,"32°42'28.83""N","117°14'56.46""W",Weekly,Wednesday,9:30,3 min.,No,
Penasquitos,Penasquitos,5,920,J04N,north,19 SYS,14800 Penasquitos Blvd access is @ that end of  Avnda Maria," 32°59'8.75""N","117° 5'35.18""W",Weekly,Monday,9:30,5 min.,Yes,
Pomerado Park,Permorado Park,5.2,920,K05N,north,20 SYS,16000 Block Avnda Venusto," 33° 0'15.81""N","117° 4'27.41""W",Weekly,Monday,7:00,5 min.,No,
Pomerado Park,Rancho Bernardo,10.1,920,K06N,north,21 SYS,16055 BloLK Big Springs Way," 33° 0'27.06""N","117° 5'2.41""W",Weekly,Monday,7:45,5 min.,Yes,
Scripps Ranch,Scripps Ranch Tank,3.2,1020,L03S,north,22 SYS,11225 Spring Canyon," 32°55'18.35""N","117° 4'0.93""W",Weekly,Wednesday,7:00,5 min.,No,
Alvarado,Alvarado West,21,536,M16S,central,81 SYS,Alvarado West Clearwell," 32°46'48.89""N","117° 2'47.62""W",Monday thru Friday,Monday thru Friday,,3-5 min.,No,
