service_request_id,service_request_parent_id,sap_notification_number,requested_datetime,case_age_days,service_name,case_record_type,updated_datetime,status,lat,long,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description
189568,NA,40300005477,2017-05-25T06:38:00,340,Paint Legend - Maintenance,TSW,2018-04-30T00:00:00,Closed,32.8093092,-117.1443286,7,50,Kearny Mesa,,Mobile,,Crosswalk stripping lines on Aero Dr and Afton Rd are now faded. Please repaint
305962,NA,NA,2018-03-13T09:28:00,NA,72 Hour Violation,Parking,,Referred,33.0119839,-117.0942346,5,31,Rancho Bernardo,,Web,Police - Abandoned Vehicles,
2620714,NA,NA,2019-06-12T16:40:00,0,Illegal Dumping,ESD Complaint/Report,2019-06-12T00:00:00,Closed,32.6926929,-117.1111705,9,37,Southeastern San Diego,,FO Self Generate,,Couch
325232,NA,40300025053,2018-04-23T09:39:00,284,Pothole,TSW,2019-02-01T00:00:00,Closed,32.7494506,-117.2125101,2,14,Midway-Pacific Highway,,Web,,potholes near driveway
2510881,NA,40300104420,2019-02-14T17:15:00,7,Pothole,TSW,2019-02-21T00:00:00,Closed,32.820424,-117.176877,6,6,Clairemont Mesa,,Mobile,,Pothole
162435,NA,1.50001E+11,2017-03-18T07:14:00,164,Pothole,TSW,2017-08-29T00:00:00,Closed,32.80727725,-117.2193314,2,27,Pacific Beach,,Phone,,also multiple  Asphalt potholes 2801 Damon  North Bound  lane
357337,NA,NA,2018-06-29T12:47:00,4,Other,Traffic Engineering,2018-07-03T00:00:00,Closed,32.8292843,-117.2801121,1,10,La Jolla,,Web,,"On June 25, 2018 at 11:29:09 AM  a vehicle was witnessed traveling the wrong way onto Playa Del Norte from Neptune Place.  This is a serious safety concern for the residents of the community as well as pedestrians, beach goers, parents, children etc.  We would like this issue to be addressed immediately before someone is seriously injured.  Witnessed by One Neptune HOA.  These communications are being submitted through the Get it Done App per recommendation of Council Member Barbara Bry.  Email communications are being sent to her directly as well."
2581788,NA,NA,2019-05-03T13:59:00,42,,Storm Water Code Enforcement,,In Process,32.82162476,-117.196102,6,6,Clairemont Mesa,,Mobile,,
178851,NA,NA,2017-04-29T11:07:00,NA,Illegal Dumping,ESD Complaint/Report,,Referred,32.74640686,-117.0835894,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Environmental Services Department at trash@sandiego.gov,
284716,NA,NA,2018-01-23T19:15:00,NA,72 Hour Violation,Parking,,Referred,32.79704176,-117.0756396,7,20,Navajo,,Mobile,Police - Abandoned Vehicles,
2585000,NA,NA,2019-05-07T10:34:00,3,Illegal Dumping,ESD Complaint/Report,2019-05-10T00:00:00,Closed,32.7447095,-117.1041166,9,56,Mid-City:City Heights,,Mobile,,Couch dumped in alley
2437162,NA,NA,2018-11-02T15:41:00,NA,Graffiti Removal,TSW,,Referred,32.75080869,-117.2502699,2,23,Ocean Beach,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,
155121,NA,NA,2017-03-02T13:56:00,39,Graffiti Removal,TSW,2017-04-10T00:00:00,Closed,32.68470897,-117.1093441,8,37,Southeastern San Diego,,Mobile,,"Bottom Right corner of ""SPEED LIMIT 25"" sign."
196632,NA,NA,2017-06-11T19:49:00,NA,Illegal Dumping,ESD Complaint/Report,,Referred,32.74407137,-117.0793425,4,57,Mid-City:Eastern Area,,Mobile,This report has been referred to Environmental Services at trash@sandiego.gov,Dumped Recliner in open space
