EMTS_title,section,section_number,text,content_type,style_name
APPLICATION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
APPLICATION AND SCOPE OF THE METHOD,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Application and Scope of the Method,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
DESCRIPTION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Description,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
DESCRIPTION AND SCOPE OF METHOD,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Description and Scope of Method,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
INTRODUCTION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Introduction,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Introduction and Summary,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PURPOSE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Purpose,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PURPOSE AND SCOPE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Purpose and Scope,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
BACKGROUND,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Background,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SCOPE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SCOPE AND APPLICATION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope and application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope and Application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PRINCIPLE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Principle,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
OBJECTIVE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Objective,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Test Summary,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SUMMARY,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF METHOD,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of the method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of Test Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF SOP,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of SOP,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF THE METHOD,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of the Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
DEVIATIONS FROM METHOD,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviation from the method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviations from the method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviations From Method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
