sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description,N
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.133456,32.94157211,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.131675,32.94149077,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0967371,32.69570919,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0804191,32.92929325,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0803011,32.92845927,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0799483,32.92846317,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0799215,32.92847555,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0799188,32.92846205,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.079832,32.92711284,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.079792,32.92713635,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.07979,32.92711452,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.079738,32.92711116,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0395614,32.92120944,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0392639,32.92107297,NA,3
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0391998,32.92238413,NA,2
NA,BALLPARK LIGHTIING,NA,NA,NA,-117.0388126,32.9211929,NA,2
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1115846,32.74473578,NA,6
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1115762,32.74494856,NA,4
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.111408,32.74511376,NA,4
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1113759,32.74433976,NA,6
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.111143,32.74511444,NA,6
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1110381,32.74443707,NA,4
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1108135,32.7446396,NA,4
NA,BALLPARK LIGHTIING,UNKNOWN,NA,NA,-117.1106627,32.74491801,NA,6
NA,BASKETBALL COURT,NA,NA,NA,-117.1680243,32.92136176,NA,2
NA,COBRA,HPS,NA,NA,-117.1729244,32.71636385,NA,2
NA,COBRA,HPS,NA,NA,-117.1728173,32.7175594,NA,2
NA,COBRA,HPS,NA,NA,-117.1728076,32.71719091,NA,2
NA,COBRA,HPS,NA,NA,-117.1552756,32.96397761,NA,2
NA,COBRA,LPS,NA,NA,-117.158461,32.74888796,NA,2
NA,COBRA,LPS,NA,NA,-117.1263894,33.02186533,NA,2
NA,COBRA,LPS,NA,NA,-117.0952613,32.9778593,NA,2
NA,COBRA,LPS,NA,NA,-117.0626683,32.7580607,NA,2
NA,COBRA,LPS,NA,NA,-117.0617952,32.7561147,NA,2
NA,COBRA,LPS,NA,NA,-117.0613562,32.99784557,NA,2
NA,COBRA DOUBLE HEAD,IND,85,240,-117.2016013,32.82986776,NA,2
NA,FLoodLight,LED,NA,NA,-117.072829,32.73447398,NA,2
NA,GATEWAY,NA,NA,NA,-117.1718427,32.71996812,NA,2
NA,GATEWAY,NA,NA,NA,-117.171824,32.71997487,NA,2
NA,POSTTOP,NA,NA,NA,-117.1932253,32.96188693,NA,2
NA,POSTTOP,NA,NA,NA,-117.1922621,32.9630999,NA,2
NA,POSTTOP,NA,NA,NA,-117.1919347,32.96206916,NA,2
NA,POSTTOP,NA,NA,NA,-117.1898297,32.96436201,NA,2
NA,POSTTOP,NA,NA,NA,-117.1848399,32.96650935,NA,2
NA,POSTTOP,NA,NA,NA,-117.1817316,32.97036953,NA,2
NA,POSTTOP,NA,NA,NA,-117.181645,32.96955273,NA,2
NA,POSTTOP,NA,NA,NA,-117.1809816,32.9677981,NA,2
NA,POSTTOP,NA,NA,NA,-117.1802387,32.96857256,NA,2
NA,POSTTOP,NA,NA,NA,-117.1801955,32.96800987,NA,2
NA,POSTTOP,NA,NA,NA,-117.1673163,32.7232036,NA,2
NA,POSTTOP,NA,NA,NA,-117.137645,33.01994918,NA,2
NA,POSTTOP,NA,NA,NA,-117.1187066,32.80275863,NA,2
NA,POSTTOP,NA,NA,NA,-117.0635072,32.75828421,NA,2
NA,POSTTOP,HPS,NA,NA,-117.1493442,32.73290535,NA,2
NA,POSTTOP,HPS,NA,NA,-117.1493198,32.73266888,NA,2
NA,POSTTOP,HPS,NA,NA,-117.1491357,32.73268283,NA,2
NA,POSTTOP,LPS,NA,NA,-117.1881887,32.75742482,NA,2
NA,SHOEBOX,NA,NA,NA,-117.2264679,32.95137765,NA,2
NA,SHOEBOX,NA,NA,NA,-117.1344546,32.94207407,NA,2
NA,SHOEBOX,NA,NA,NA,-117.1318372,32.94256403,NA,2
NA,SHOEBOX,NA,NA,NA,-117.1305797,32.92323718,NA,2
NA,SHOEBOX,NA,NA,NA,-117.1297661,32.92255769,NA,2
NA,SHOEBOX,NA,NA,NA,-117.1295646,32.92253122,NA,2
NA,SHOEBOX,NA,NA,NA,-117.0962431,32.93299774,NA,2
NA,SHOEBOX,NA,NA,NA,-117.096125,32.92897289,NA,2
NA,SHOEBOX,NA,NA,NA,-117.0959024,32.92852263,NA,2
NA,SHOEBOX,NA,NA,NA,-117.0958409,32.93291278,NA,2
NA,SHOEBOX,NA,NA,NA,-117.0927282,32.93505129,NA,2
NA,SHOEBOX,NA,NA,NA,-117.092456,32.9348712,NA,2
NA,SHOEBOX,NA,NA,NA,-117.0883669,32.92538722,NA,2
